u	anal	euler	picar1	picar2	picar3	picar4
0.0	0.5	0.5	0.5	0.5	0.5	0.5
0.1	0.5050501670841681	0.5	0.5050250000000001	0.5050500833333333	0.505050166875	0.5050501670837501
0.2	0.5208107741923882	0.5101	0.5204	0.5208053333333333	0.5208107200000001	0.5208107737600002
0.30000000000000004	0.5491742837052105	0.531304	0.5470250000000001	0.5491107500000001	0.549172866875	0.5491742583537501
0.4	0.5935108709918102	0.56588224	0.5864	0.5931413333333333	0.5934963200000001	0.59351041024
0.5	0.6590254166877414	0.6175528191999999	0.640625	0.6575520833333334	0.658935546875	0.65902099609375
0.6000000000000001	0.7533294145603402	0.6918081011199999	0.7123999999999999	0.748688	0.75292592	0.75330103424
0.7000000000000001	0.887316219955379	0.7964250732543999	0.805025	0.8748540833333334	0.885859166875	0.88717786510375
0.8	1.0764808793049512	0.9422245835100159	0.9223999999999999	1.0466453333333332	1.07198592	1.07592856576
0.9	1.342907986676471	1.1441805168716184	1.069025	1.27733675	1.330591566875	1.34101246058375
1.0	1.7182818284590446	1.4230330099085096	1.2499999999999998	1.583333333333333	1.6874999999999996	1.7124999999999995
